danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,audio_features,41on8RwRh22IHcChAN2gm8,spotify:track:41on8RwRh22IHcChAN2gm8,https://api.spotify.com/v1/tracks/41on8RwRh22IHcChAN2gm8,https://api.spotify.com/v1/audio-analysis/41on8RwRh22IHcChAN2gm8,284733,4,RnB,American Boy (feat. Kanye West),,
0.669,0.702,1,-6.343,1,0.0633,0.0054,0,0.148,0.591,183.944,audio_features,1mWw3xRqydYjgaNd8tHZM1,spotify:track:1mWw3xRqydYjgaNd8tHZM1,https://api.spotify.com/v1/tracks/1mWw3xRqydYjgaNd8tHZM1,https://api.spotify.com/v1/audio-analysis/1mWw3xRqydYjgaNd8tHZM1,232267,4,RnB,Just Fine,,
0.778,0.824,10,-5.892,0,0.0712,0.284,0,0.405,0.756,200.048,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,RnB,Hips Don't Lie (feat. Wyclef Jean),,
0.684,0.603,11,-8.127,0,0.0989,0.0275,0.000311,0.191,0.504,162,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4,RnB,Sure Thing,,
0.686,0.526,6,-8.026,0,0.242,0.0291,0,0.0789,0.819,167.532,audio_features,6yWRPDNiZbkYFB3k6IFDYG,spotify:track:6yWRPDNiZbkYFB3k6IFDYG,https://api.spotify.com/v1/tracks/6yWRPDNiZbkYFB3k6IFDYG,https://api.spotify.com/v1/audio-analysis/6yWRPDNiZbkYFB3k6IFDYG,215827,4,RnB,Feelin' You,,
0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.328,160.033,audio_features,519tXYJVcrpEMqV2BMbh6E,spotify:track:519tXYJVcrpEMqV2BMbh6E,https://api.spotify.com/v1/tracks/519tXYJVcrpEMqV2BMbh6E,https://api.spotify.com/v1/audio-analysis/519tXYJVcrpEMqV2BMbh6E,264373,4,RnB,No Air (feat. Chris Brown),,
0.719,0.616,1,-3.951,1,0.0395,0.00683,3.11E-05,0.0742,0.625,124.963,audio_features,7z73ehYAn9O1XP9XlCqVtd,spotify:track:7z73ehYAn9O1XP9XlCqVtd,https://api.spotify.com/v1/tracks/7z73ehYAn9O1XP9XlCqVtd,https://api.spotify.com/v1/audio-analysis/7z73ehYAn9O1XP9XlCqVtd,200880,4,RnB,Who Dat Girl (feat. Akon),,
0.806,0.721,10,-5.167,0,0.215,0.197,0,0.209,0.781,189.934,audio_features,2RqZFOLOnzVmHUX7ZMcaES,spotify:track:2RqZFOLOnzVmHUX7ZMcaES,https://api.spotify.com/v1/tracks/2RqZFOLOnzVmHUX7ZMcaES,https://api.spotify.com/v1/audio-analysis/2RqZFOLOnzVmHUX7ZMcaES,238333,4,RnB,Let It Go,,
0.775,0.641,1,-6.718,1,0.038,0.0327,0,0.18,0.305,119.974,audio_features,3MldzywZOH4Uci6bq9noyJ,spotify:track:3MldzywZOH4Uci6bq9noyJ,https://api.spotify.com/v1/tracks/3MldzywZOH4Uci6bq9noyJ,https://api.spotify.com/v1/audio-analysis/3MldzywZOH4Uci6bq9noyJ,243013,4,RnB,What You Got - Main,,
0.822,0.905,5,-4.032,0,0.241,0.123,0,0.0496,0.674,128.014,audio_features,2a03afRiyAbNAleOByVju4,spotify:track:2a03afRiyAbNAleOByVju4,https://api.spotify.com/v1/tracks/2a03afRiyAbNAleOByVju4,https://api.spotify.com/v1/audio-analysis/2a03afRiyAbNAleOByVju4,209533,4,RnB,Get It Shawty - Main,,
